En el segundo filtro se busca obtener solo los miembros que permitan al menos 5 huespedes
,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7,407485,https://www.airbnb.com/rooms/407485,20240923134023,2024-09-23,city scrape,Bristol Luxury Garden Apartment,,,https://a0.muscache.com/pictures/58023936/aa2bfdd5_original.jpg,2029719,https://www.airbnb.com/users/show/2029719,Ingrid,2012-03-29,United Kingdom,"Hi my name is Ingrid,

I am a freelancer arty person who works in the media. 

I look forward to welcoming you to my home.
Please feel free to contact me if you have any questions regrading my apartment.",within a day,100%,55%,f,https://a0.muscache.com/im/users/2029719/profile_pic/1334008287/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2029719/profile_pic/1334008287/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Ashley,,51.46769,-2.5825,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,3.0,"[""Oven"", ""Private patio or balcony"", ""Dishwasher"", ""Room-darkening shades"", ""Stove"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Outdoor furniture"", ""Garden view"", ""Refrigerator"", ""TV"", ""Pack \u2019n play/Travel crib"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""Courtyard view"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Cooking basics"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""City skyline view"", ""Private entrance"", ""Dedicated workspace"", ""Long term stays allowed"", ""Backyard"", ""Crib"", ""Self check-in"", ""Fire extinguisher"", ""Hangers"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$97.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,25,49,79,354,2024-09-23,345,24,3,2012-04-30,2024-09-08,4.86,4.89,4.88,4.93,4.93,4.78,4.72,,f,1,1,0,0,2.28
9,422956,https://www.airbnb.com/rooms/422956,20240923134023,2024-09-23,city scrape,Modern inner city 3 bed eco house,,,https://a0.muscache.com/pictures/14311328/dfb8741c_original.jpg,2103297,https://www.airbnb.com/users/show/2103297,Lois,2012-04-09,"Bristol, United Kingdom","Hi, my husband and I have lived in Bristol for 35 years and are able to advise on local facilities and recommend places of interest for you to visit. We are widely travelled and have an appreciation of home from home comforts. We have brought up our two children here while working and renovating this idyllic retreat. We welcome you to join us in this unusual sylvan setting and welcome suggestions to make your stay even more comfortable. 
",within a few hours,100%,98%,t,https://a0.muscache.com/im/users/2103297/profile_pic/1334013949/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2103297/profile_pic/1334013949/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Redland,,51.4738,-2.60615,Entire home,Entire home/apt,5,2.0,2 baths,3.0,5.0,"[""Oven"", ""Books and reading material"", ""Private patio or balcony"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Hot water kettle"", ""Wine glasses"", ""Indoor fireplace"", ""Shared pool - available all year, open specific hours, heated"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Refrigerator"", ""Washer"", ""TV"", ""Drying rack for clothing"", ""Shower gel"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Piano"", ""Children\u2019s dinnerware"", ""Iron"", ""Baby safety gates"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Children\u2019s books and toys"", ""First aid kit"", ""Outdoor dining area"", ""Host greets you"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Backyard"", ""Free parking on premises"", ""Cleaning products"", ""Outdoor playground"", ""Hangers"", ""Fireplace guards"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$215.00,2,28,2.0,2.0,28.0,28.0,2.0,28.0,,t,13,32,57,315,2024-09-23,468,41,3,2012-04-30,2024-09-08,4.9,4.88,4.69,4.94,4.96,4.9,4.84,,f,2,2,0,0,3.1
12,942226,https://www.airbnb.com/rooms/942226,20240923134023,2024-09-23,city scrape,BnB in Barn with 2 ensuite Bedrooms,,,https://a0.muscache.com/pictures/14312381/62cf4cb0_original.jpg,2103297,https://www.airbnb.com/users/show/2103297,Lois,2012-04-09,"Bristol, United Kingdom","Hi, my husband and I have lived in Bristol for 35 years and are able to advise on local facilities and recommend places of interest for you to visit. We are widely travelled and have an appreciation of home from home comforts. We have brought up our two children here while working and renovating this idyllic retreat. We welcome you to join us in this unusual sylvan setting and welcome suggestions to make your stay even more comfortable. 
",within a few hours,100%,98%,t,https://a0.muscache.com/im/users/2103297/profile_pic/1334013949/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2103297/profile_pic/1334013949/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Redland,,51.47461,-2.60433,Barn,Entire home/apt,5,2.0,2 baths,2.0,5.0,"[""Oven"", ""Stove"", ""Hot water"", ""Indoor fireplace"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Single level home"", ""Outdoor furniture"", ""Refrigerator"", ""TV"", ""Shower gel"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Children\u2019s dinnerware"", ""Iron"", ""Cooking basics"", ""Shared pool"", ""Children\u2019s books and toys"", ""First aid kit"", ""Outdoor dining area"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Baking sheet"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$150.00,2,7,2.0,2.0,7.0,7.0,2.0,7.0,,t,21,40,69,330,2024-09-23,401,41,2,2013-07-09,2024-09-08,4.86,4.87,4.59,4.94,4.97,4.94,4.84,,f,2,2,0,0,2.94
14,1152539,https://www.airbnb.com/rooms/1152539,20240923134023,2024-09-23,previous scrape,Lovely big house with great garden and parking,"A very lovely four bedroom home, with a huge eat-in kitchen and sunny, large garden. The whole house has recently been refurbished and the kitchen extended and replaced with a big eat-in space, island and bi-fold doors. It is located in a great part of the city. We are near the Gloucester Road, with terrific independent shops and restaurants, 2 miles from the city centre and minutes from the Downs. Newly converted loft. Woodburner in main sitting room and decked area in garden with table & bbq.","This is a family-friendly neighbourhood with great places to eat, drink, relax and shop. It's close to the city centre and access to the M5 motorway is fast as we are the right side of the city. You can explore the Mendips and the Cotswolds easily, plus much more.",https://a0.muscache.com/pictures/c9114e5b-844a-4086-a6ed-3b105ab75308.jpg,6317053,https://www.airbnb.com/users/show/6317053,Penny,2013-05-10,"Bristol, United Kingdom","I love exploring new places with my family. As well as using airbnb, we've houseswapped in the UK and overseas more than 50 times in the past seven years.",within a day,100%,46%,f,https://a0.muscache.com/im/users/6317053/profile_pic/1368179035/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6317053/profile_pic/1368179035/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,Neighborhood highlights,Redland,,51.47885,-2.5989,Entire home,Entire home/apt,5,,2.5 baths,5.0,,"[""Hot water"", ""Indoor fireplace"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dryer"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Heating""]",,2,10,2.0,2.0,10.0,10.0,2.0,10.0,,t,0,24,54,234,2024-09-23,15,0,0,2015-04-27,2018-08-06,4.33,4.6,4.13,4.8,4.8,4.8,4.47,,f,3,3,0,0,0.13
27,2403979,https://www.airbnb.com/rooms/2403979,20240923134023,2024-09-23,previous scrape,Entire family home near city centre,"This bright and stylish house is located in the friendly bohemian area of St Werburghs, only a 20 minute walk to the city centre.","St Werburghs has lots to offer including three excellent pubs, a city farm and farm cafe, and a fantastic organic supermarket (The Better Food Company). <br /><br />The main row of shops (Mina Road) is a stones throw away from the house and has a selection of take-aways and restaurants. <br /><br />If you fancy a bit of the outdoors, Mina park is just around the corner and there is a community garden leading to 'strawberry hill' with a beautiful view across Bristol.<br /><br />The popular areas of Stoke's Croft and Gloucester Road are also in walking distance (15 and 25 minutes respectively) and offer some great bars, restaurants, pubs and shops.",https://a0.muscache.com/pictures/b1176fd7-7ff2-4fef-8c26-a53b61c6b2f9.jpg,12286397,https://www.airbnb.com/users/show/12286397,Bo,2014-02-16,"Bristol, United Kingdom",I am a natural host and I take great pride in my home. I enjoy cooking and baking and guests are welcome to use any of our many cooking and baking books and equipment during their stay. I will also leave some home baked goodies as a welcome gift.,,,,f,https://a0.muscache.com/im/pictures/user/251dc708-6190-487b-ae4c-9f2b1df185d5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/251dc708-6190-487b-ae4c-9f2b1df185d5.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.46987,-2.57697,Entire home,Entire home/apt,8,,2.5 baths,3.0,,"[""Oven"", ""Dishwasher"", ""Room-darkening shades"", ""Stove"", ""Hot water"", ""Changing table"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Baby bath"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Patio or balcony"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Children\u2019s dinnerware"", ""Iron"", ""Lockbox"", ""Baby safety gates"", ""Bathtub"", ""Free street parking"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Dryer"", ""Backyard"", ""Crib"", ""Self check-in"", ""Hangers"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",,2,365,2.0,2.0,365.0,365.0,2.0,365.0,,t,0,0,0,0,2024-09-23,14,0,0,2014-04-22,2019-08-08,4.93,5.0,4.85,4.92,4.92,4.77,4.77,,f,1,1,0,0,0.11
56,5566863,https://www.airbnb.com/rooms/5566863,20240923134023,2024-09-23,previous scrape,Family home in central Bristol,"Our lovely family home is spacious, comfortable and well-equipped. It has 5 bedrooms - 4 doubles and 1 single. We are 30 minutes walk from the main waterfront, Cabot's Circus, Clifton, Bristol University and Park Street.<br /><br />Our Gloucester Road neighbourhood is very cosmopolitan with restaurants, cafes and bars.","The immediate neighbourhood is very quiet. However, the Gloucester Road is two minutes walk, and has a wide range of shops, restaurants, cafes, bars and pubs.",https://a0.muscache.com/pictures/001853e7-fc48-4967-8d8c-074e6c15d610.jpg,25648545,https://www.airbnb.com/users/show/25648545,Rob,2015-01-05,"Bristol, United Kingdom","We live in Bristol - European green capital in 2015!

I travel quite a bit through work, but also work from home, running an educational business with my wife. We work hard, and like to travel when we can. 

As a guest, I'm a relaxed person, and we'd be respectful of your home. 

What else do you want to know? Ask...",,,33%,f,https://a0.muscache.com/im/pictures/user/08bd0cdc-f28b-4c83-bd64-105b8eb29c34.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/08bd0cdc-f28b-4c83-bd64-105b8eb29c34.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Redland,,51.47416,-2.59722,Entire home,Entire home/apt,8,,3 baths,5.0,,"[""Oven"", ""Private patio or balcony"", ""Dining table"", ""Dishwasher"", ""Freezer"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""HDTV with Netflix, premium cable"", ""Outdoor furniture"", ""Hammock"", ""Refrigerator"", ""Drying rack for clothing"", ""Blender"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Fire pit"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Outdoor dining area"", ""Coffee"", ""Dryer"", ""Cleaning products"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Essentials"", ""AEG gas stove"", ""Hot water kettle"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",,3,18,3.0,3.0,18.0,18.0,3.0,18.0,,t,22,52,82,357,2024-09-23,17,1,0,2016-03-27,2024-08-14,5.0,5.0,4.94,5.0,5.0,4.94,5.0,,f,1,1,0,0,0.16
60,5941586,https://www.airbnb.com/rooms/5941586,20240923134023,2024-09-23,previous scrape,"Beautiful spacious house, prime location!","Beautiful large Redland house, peaceful road.<br /><br />Includes:<br /><br />Home cinema with 70"" screen and full surround sound. <br />Large kitchen-diner with table for 10 and bi-folds to patio.<br />Tumble dryer. <br />Formal living room. <br />Large master bedroom with ensuite. <br />1 off street parking space and 1 parking space across this. <br />10 minutes to Whiteladies Rd/Gloucester Rd.  <br />2 minutes to Redland train station, trains to BTM and London. <br />Lovely quiet leafy area, parks, gym and swimming pools all within walking distance.",,https://a0.muscache.com/pictures/miso/Hosting-5941586/original/a788fd51-87ff-4d42-ba61-ebb2e4f16842.jpeg,6370936,https://www.airbnb.com/users/show/6370936,Nick,2013-05-13,"Bristol, United Kingdom","We're a family who love to travel. We rent out our own apartment, love hosting and always treat where we stay like our own home.

Bristol has been home for us for 12 years now and we love it's amazing mix of music, culture, events and great food.",,,,f,https://a0.muscache.com/im/users/6370936/profile_pic/1413029984/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6370936/profile_pic/1413029984/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,,Cotham,,51.46714,-2.60138,Entire home,Entire home/apt,8,,3 baths,4.0,,"[""Kitchen"", ""Free parking on premises"", ""Washer"", ""TV"", ""BBQ grill"", ""Wifi"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Dedicated workspace""]",,30,60,30.0,30.0,60.0,60.0,30.0,60.0,,t,23,53,83,173,2024-09-23,0,0,0,,,,,,,,,,,f,1,1,0,0,
61,6173143,https://www.airbnb.com/rooms/6173143,20240923134023,2024-09-23,city scrape,Large 4 bed house with garden,The main house has 3 bedrooms (2 double 1 single) but basement is converted into a cozy flat with its own kitchen and bathroom (directly linked by internal stairs as well as separate entrance).  Overall two full bathrooms and two further cloakrooms. Off street parking for one car.,"Our house sits between the Redland neighbourhood with its large Victorian or Edwardian family homes and parks and the lively Gloucester Road with numerous independent shops, restaurants and bars. There are at several very good restaurants and cafes within five minutes' walk of our front door that cater for lots of different tastes and budgets. The area is convenient for Clifton, the town centre and the M32.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjE3MzE0Mw%3D%3D/original/7bd07355-7c19-440f-87b2-289bc4e9af2a.jpeg,17137345,https://www.airbnb.com/users/show/17137345,Jeffrey,2014-06-23,"Bristol, United Kingdom",I am an academic at the University of Bristol and am originally from Canada.  Been living in Bristol for over 20 years now.  I am very happy to give you any information or help you require about making the most of your stay in Bristol.,within an hour,100%,33%,f,https://a0.muscache.com/im/pictures/user/User-17137345/original/e6d0d41e-4397-4600-9b93-d9f9110a07aa.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-17137345/original/e6d0d41e-4397-4600-9b93-d9f9110a07aa.jpeg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,t,Neighborhood highlights,Redland,,51.47035,-2.59722,Entire home,Entire home/apt,7,2.0,2 baths,4.0,0.0,"[""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Smoke alarm"", ""Piano"", ""Iron"", ""Lockbox"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dryer"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Heating""]",$150.00,21,31,21.0,21.0,31.0,31.0,21.0,31.0,,t,13,43,73,73,2024-09-23,4,1,0,2015-12-26,2024-08-16,4.75,5.0,4.75,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.04
66,6818070,https://www.airbnb.com/rooms/6818070,20240923134023,2024-09-23,previous scrape,2 DoubleBed Flat in Victorian home,"Spacious 2 double Bedroom flat with own entrance overlooking woodland garden in characterful Victorian family home, features fully fitted modern kitchen, wet room and separate dining area. Close to transport links and 15 minute walk to town centre.","Montpelier is a lively Bohemian area close to the popular Stokes Croft area of the city lots of Bars and Restaurants close by including the ever popular 'Canteen'. St Werburghs Bristol's Greenest neighborhood is on the doorstep which has a City Farm there are City parks, St Andrews is a particular favourite of ours and cycle paths close by. The bustling Gloucester Road is also within close walking distance.<br />There is a local convenience store just a 3 minute walk away and an organic supermarket with a cafe just around the corner.",https://a0.muscache.com/pictures/86175963/8fbd55a8_original.jpg,29944566,https://www.airbnb.com/users/show/29944566,Susie,2015-03-24,"Bristol, United Kingdom",,,,,f,https://a0.muscache.com/im/users/29944566/profile_pic/1434212121/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29944566/profile_pic/1434212121/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.47104,-2.58119,Entire rental unit,Entire home/apt,5,,1 bath,2.0,,"[""Iron"", ""Kitchen"", ""Breakfast"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""First aid kit"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Heating"", ""Hair dryer""]",,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0,,t,0,0,0,234,2024-09-23,62,0,0,2015-09-01,2016-12-11,4.27,4.75,4.75,4.87,4.89,4.26,4.33,,f,1,1,0,0,0.56
69,7366399,https://www.airbnb.com/rooms/7366399,20240923134023,2024-09-23,previous scrape,Stunning park-side large family home,"Our large characterful Victorian family home is perfectly placed for a trip to Bristol. Facing a beautiful park and 80m from the independent shops and cafés of  Gloucester Road - or a hop further for vibrant Stokes Croft or the city galleries, museums and festivals.<br /><br />Excellent wifi, music and TV set-up.  Great work space if needed.<br /><br />Please note that there is a cat who lives in the house, we can arrange for him to be in kennels if necessary.<br /><br />New wet room added in Spring 2023.",Laid back St Andrews is superbly situated for enjoying Bristol  - a peaceful home with so much fun on its doorstep.,https://a0.muscache.com/pictures/94795012/d612bd1b_original.jpg,14410812,https://www.airbnb.com/users/show/14410812,Peter,2014-04-17,"Bristol, United Kingdom","Peter and Lucy have lived in Bristol for 15 years and love the city.  They describe their house as a well loved family home ideal for groups or families.  Peter runs a small marketing agency and Lucy dabbles in writing/communications, counselling and interiors. They have a booklet of recommendations of shops, bars, cafes and restaurants  in the city and their beloved Gloucester road which is 200metres away and packed with independent shops and cafes. A beautiful base from which to explore the city. They have 3 children from pre-school to teenage.",,,67%,f,https://a0.muscache.com/im/pictures/user/c1b0d871-758a-42f1-a9b7-b18be17ad50b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c1b0d871-758a-42f1-a9b7-b18be17ad50b.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.47394,-2.5875,Entire home,Entire home/apt,9,,3.5 baths,5.0,,"[""Crib - available upon request"", ""Oven"", ""Books and reading material"", ""Game console: PS4"", ""Private patio or balcony"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Hot water kettle"", ""Wine glasses"", ""Coffee maker"", ""Indoor fireplace"", ""Bed linens"", ""Pets allowed"", ""Hair dryer"", ""Sonos sound system"", ""Kitchen"", ""Fast wifi \u2013 143 Mbps"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""BBQ grill: gas"", ""Refrigerator"", ""Washer"", ""Drying rack for clothing"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Record player"", ""Piano"", ""Children\u2019s dinnerware"", ""Iron"", ""Fire pit"", ""Lockbox"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""HDTV with Netflix"", ""Babysitter recommendations"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Bikes"", ""Dedicated workspace"", ""Dryer"", ""Backyard"", ""Free parking on premises"", ""Cleaning products"", ""Board games"", ""Self check-in"", ""Baking sheet"", ""Hangers"", ""Fireplace guards"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",,5,21,5.0,5.0,21.0,21.0,5.0,21.0,,t,0,0,0,175,2024-09-23,13,0,0,2015-08-05,2022-09-05,4.92,4.85,4.62,4.92,5.0,4.85,4.77,,f,1,1,0,0,0.12
