En el segundo filtro se busca obtener solo los miembros que respondan dentro del mismo dia
,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7,407485,https://www.airbnb.com/rooms/407485,20240923134023,2024-09-23,city scrape,Bristol Luxury Garden Apartment,,,https://a0.muscache.com/pictures/58023936/aa2bfdd5_original.jpg,2029719,https://www.airbnb.com/users/show/2029719,Ingrid,2012-03-29,United Kingdom,"Hi my name is Ingrid,

I am a freelancer arty person who works in the media. 

I look forward to welcoming you to my home.
Please feel free to contact me if you have any questions regrading my apartment.",within a day,100%,55%,f,https://a0.muscache.com/im/users/2029719/profile_pic/1334008287/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2029719/profile_pic/1334008287/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Ashley,,51.46769,-2.5825,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,3.0,"[""Oven"", ""Private patio or balcony"", ""Dishwasher"", ""Room-darkening shades"", ""Stove"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Outdoor furniture"", ""Garden view"", ""Refrigerator"", ""TV"", ""Pack \u2019n play/Travel crib"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""Courtyard view"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Cooking basics"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""City skyline view"", ""Private entrance"", ""Dedicated workspace"", ""Long term stays allowed"", ""Backyard"", ""Crib"", ""Self check-in"", ""Fire extinguisher"", ""Hangers"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$97.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,25,49,79,354,2024-09-23,345,24,3,2012-04-30,2024-09-08,4.86,4.89,4.88,4.93,4.93,4.78,4.72,,f,1,1,0,0,2.28
11,868888,https://www.airbnb.com/rooms/868888,20240923134023,2024-09-23,previous scrape,Large double room with breakfast,"This is a very friendly house. So it's a home away from home.<br />You'll find the house clean and tidy with all local aminities and a park is within walking distance.<br /><br />There is an excellent bus service to the city centre, running every 10 minutes.<br /><br />My partner is Spanish, so English and Spanish is spoken in the house.",,https://a0.muscache.com/pictures/21568583/789cbd20_original.jpg,4577089,https://www.airbnb.com/users/show/4577089,Rohan,2013-01-03,"Bristol, United Kingdom","I'm an easy going, fun loving person. I like travelling & getting to know other cultures.I enjoy the outdoors, and nature.

My hobbies include Photography, Watch & Clock repairing and DIY.
Going to the cinema & theatre is something I enjoy very much.

I keep fit by going to the gym three times a week.  I also play Badminton & Tennis, 
",within a day,100%,0%,f,https://a0.muscache.com/im/users/4577089/profile_pic/1357326218/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4577089/profile_pic/1357326218/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Eastville,,51.47305,-2.54617,Private room in home,Private room,1,,1 shared bath,,,"[""Oven"", ""Stove"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Gym"", ""Kitchen"", ""Breakfast"", ""Refrigerator"", ""Washer"", ""Smoke alarm"", ""Iron"", ""Free street parking"", ""Cooking basics"", ""Luggage dropoff allowed"", ""First aid kit"", ""Extra pillows and blankets"", ""Host greets you"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Backyard"", ""Free parking on premises"", ""Hangers"", ""Wifi"", ""Essentials"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,,t,0,0,0,0,2024-09-23,8,0,0,2018-03-29,2020-03-01,4.75,4.88,4.5,4.88,4.75,4.13,4.88,,f,2,0,2,0,0.1
14,1152539,https://www.airbnb.com/rooms/1152539,20240923134023,2024-09-23,previous scrape,Lovely big house with great garden and parking,"A very lovely four bedroom home, with a huge eat-in kitchen and sunny, large garden. The whole house has recently been refurbished and the kitchen extended and replaced with a big eat-in space, island and bi-fold doors. It is located in a great part of the city. We are near the Gloucester Road, with terrific independent shops and restaurants, 2 miles from the city centre and minutes from the Downs. Newly converted loft. Woodburner in main sitting room and decked area in garden with table & bbq.","This is a family-friendly neighbourhood with great places to eat, drink, relax and shop. It's close to the city centre and access to the M5 motorway is fast as we are the right side of the city. You can explore the Mendips and the Cotswolds easily, plus much more.",https://a0.muscache.com/pictures/c9114e5b-844a-4086-a6ed-3b105ab75308.jpg,6317053,https://www.airbnb.com/users/show/6317053,Penny,2013-05-10,"Bristol, United Kingdom","I love exploring new places with my family. As well as using airbnb, we've houseswapped in the UK and overseas more than 50 times in the past seven years.",within a day,100%,46%,f,https://a0.muscache.com/im/users/6317053/profile_pic/1368179035/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6317053/profile_pic/1368179035/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,Neighborhood highlights,Redland,,51.47885,-2.5989,Entire home,Entire home/apt,5,,2.5 baths,5.0,,"[""Hot water"", ""Indoor fireplace"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dryer"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Heating""]",,2,10,2.0,2.0,10.0,10.0,2.0,10.0,,t,0,24,54,234,2024-09-23,15,0,0,2015-04-27,2018-08-06,4.33,4.6,4.13,4.8,4.8,4.8,4.47,,f,3,3,0,0,0.13
17,1329265,https://www.airbnb.com/rooms/1329265,20240923134023,2024-09-23,city scrape,"Central location, perfect for visitors","A large, well-presented king sized bedroom with fridge, microwave and tea and coffee making facilities in a central location with great transport links, fabulous fast free internet, a private walled garden, fully equipped, clean and comfortable living space and a small dog to share it with! <br /><br />If you are a visitor to our beautiful city, you'll find it convenient and great for your budget that cereals, toast, tea and coffee are provided for you to start your day.","This is a vibrant, evolving community with people from all cultures and influences. It's not a beautiful area by any means,  so if you want a quiet, leafy suburb, this isn't for you. If you're after an inner-city, conveniently located place, close to the town and to train, coach and motorway, then this fits the bill. We are only a 10 minute walk to the shopping centre (Broadmead and Cabot Circus) where there is a large cinema and many restaurants. Away from town there is a road called St Mark's Road which has many lovely eating places. <br />Try the Greenbank, Volunteer Tavern or Phoenix pubs which are all a short distance away.",https://a0.muscache.com/pictures/hosting/Hosting-1329265/original/78e99669-3df7-4cbc-8fcb-595be95f5c51.jpeg,7144675,https://www.airbnb.com/users/show/7144675,Stephanie,2013-06-27,"Bristol, United Kingdom","Friendly, considerate and kind, laidback and happy and comfortable with people of all orientations and cultures.

I let my guests have their own space and time. If you need help then I am very happy to assist, if you'd rather be left alone to do your own thing, I totally understand.

I love travelling and have been fortunate enough to visit many different places. I love reading, the opera and theatre, nature and walking my lovely dog.",within a day,100%,67%,t,https://a0.muscache.com/im/users/7144675/profile_pic/1374655268/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7144675/profile_pic/1374655268/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Lawrence Hill,,51.45919,-2.57566,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Oven"", ""Books and reading material"", ""Private patio or balcony"", ""Dining table"", ""Laundromat nearby"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Hot water kettle"", ""Wine glasses"", ""Paid parking off premises"", ""Coffee maker"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Breakfast"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Garden view"", ""Refrigerator"", ""Drying rack for clothing"", ""Blender"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Mini fridge"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""32 inch HDTV with standard cable"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Host greets you"", ""Carbon monoxide alarm"", ""Bread maker"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Cleaning products"", ""Baking sheet"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Sun loungers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$42.00,4,100,4.0,4.0,100.0,100.0,4.0,100.0,,t,11,27,49,134,2024-09-23,262,23,4,2013-07-29,2024-09-19,4.86,4.92,4.94,4.92,4.92,4.42,4.75,,f,1,0,1,0,1.93
19,1457693,https://www.airbnb.com/rooms/1457693,20240923134023,2024-09-23,city scrape,Cosy single room with breakfast,,,https://a0.muscache.com/pictures/a14f2151-4a6d-45b5-829e-685715768c9b.jpg,4577089,https://www.airbnb.com/users/show/4577089,Rohan,2013-01-03,"Bristol, United Kingdom","I'm an easy going, fun loving person. I like travelling & getting to know other cultures.I enjoy the outdoors, and nature.

My hobbies include Photography, Watch & Clock repairing and DIY.
Going to the cinema & theatre is something I enjoy very much.

I keep fit by going to the gym three times a week.  I also play Badminton & Tennis, 
",within a day,100%,0%,f,https://a0.muscache.com/im/users/4577089/profile_pic/1357326218/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4577089/profile_pic/1357326218/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Eastville,,51.47402,-2.54735,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Kitchen"", ""Oven"", ""Breakfast"", ""Free parking on premises"", ""TV with standard cable"", ""Coffee maker"", ""Refrigerator"", ""Washer"", ""Stove"", ""Hot water"", ""First aid kit"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Heating"", ""Smoke alarm"", ""Microwave""]",$25.00,20,1125,20.0,20.0,1125.0,1125.0,20.0,1125.0,,t,1,1,1,276,2024-09-23,15,0,0,2013-08-20,2020-11-15,4.5,4.67,4.6,4.87,4.93,4.8,4.47,,f,2,0,2,0,0.11
36,3635586,https://www.airbnb.com/rooms/3635586,20240923134023,2024-09-23,city scrape,"Bright and airy 1-bed flat, nr Clifton & BBC","Beautifully presented one-bed Georgian flat in the heart of Bristol on Cotham Hill 10 mins walk to Clifton, and 20 mins to the harbourside. Also next to Clifton train station. Surrounded by shops, restaurants, cafes and bars, it is also 5 mins walk from the BBC and new Everyman cinema on Whiteladies road. Self check-in with lockbox available, so don't worry if you arrive late. The new bathroom is beautifully done but the shower is very small just in case that's an issue!","Cotham Hill and Whiteladies road have become one of the most vibrant areas in the city, as well as being a short walk (around 20 mins) from Clifton Village, with its historic suspension bridge, shops and restaurants. The Triangle, Harbourside and bars and clubs of Stokes Croft are also all within walking distance.",https://a0.muscache.com/pictures/47441350/872f249a_original.jpg,18332468,https://www.airbnb.com/users/show/18332468,Zanna,2014-07-18,"Bristol, United Kingdom",,within a day,69%,59%,f,https://a0.muscache.com/im/pictures/user/6179d345-bb97-4470-b587-e60d57d5d994.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6179d345-bb97-4470-b587-e60d57d5d994.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Clifton Down,,51.4647,-2.61036,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Oven"", ""Books and reading material"", ""Room-darkening shades"", ""50 inch HDTV with Amazon Prime Video, Fire TV"", ""Hot water"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Single level home"", ""Clothing storage: closet and dresser"", ""Refrigerator"", ""Drying rack for clothing"", ""Shower gel"", ""Smoke alarm"", ""Iron"", ""Paid street parking off premises"", ""Lockbox"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Self check-in"", ""Cleaning products"", ""Baking sheet"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating""]",$89.00,3,16,3.0,3.0,16.0,16.0,3.0,16.0,,t,2,2,29,29,2024-09-23,125,22,1,2014-09-11,2024-09-07,4.82,4.74,4.74,4.97,4.94,4.96,4.65,,f,1,1,0,0,1.02
39,3906876,https://www.airbnb.com/rooms/3906876,20240923134023,2024-09-23,previous scrape,Luxury Harbour Side Apartment,"Stunning show flat apartment in 'lANDMARK' harbour side development, Bristol's premier. gated with private underground parking.Professionally interior designed, very  large 2 bed, 2 bath + walk in showers .in the heart of Bristol overlooking Brunel's ""SS Great Britain""",The proximity to everything on the harbour side also to Cabot shopping  centre and the university.,https://a0.muscache.com/pictures/miso/Hosting-3906876/original/028d3a28-3800-4005-a74c-092022d39161.jpeg,20235167,https://www.airbnb.com/users/show/20235167,Robert,2014-08-18,"Bristol, TN","Hi, we are Gali and Rob and we love to welcome you into our home.",within a day,75%,75%,f,https://a0.muscache.com/im/pictures/user/23e07b71-a81e-48fd-83f1-839fcfb78b9d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/23e07b71-a81e-48fd-83f1-839fcfb78b9d.jpg?aki_policy=profile_x_medium,,1,6,"['email', 'phone']",t,t,Neighborhood highlights,Hotwells & Harbourside,,51.4506,-2.60721,Entire rental unit,Entire home/apt,4,,2.5 baths,2.0,,"[""Hot water"", ""Coffee maker"", ""Kitchen"", ""TV with standard cable"", ""Washer"", ""Smoke alarm"", ""Cooking basics"", ""Host greets you"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Dryer"", ""Free parking on premises"", ""Air conditioning"", ""Wifi"", ""Essentials"", ""Lake access"", ""Dishes and silverware"", ""Heating"", ""Elevator"", ""Microwave""]",,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,,t,22,52,82,357,2024-09-23,43,0,0,2014-10-26,2023-03-16,4.67,4.67,4.86,4.79,4.81,4.83,4.29,,f,1,1,0,0,0.36
50,5027387,https://www.airbnb.com/rooms/5027387,20240923134023,2024-09-23,city scrape,Franks Place,"Luxurious ground floor flat, with two huge double bedrooms, two bathrooms and a delightful small walled garden. Close to everything Bristol has to offer but nestled in a quiet residential area. Franks Place is a short 5 minute walk to the stunning Downs and 15-20 min walk to Whiteladies rd. <br />Dog and family friendly.<br /><br />* 2023 rate increase reflects the current energy prices in the uk.","Stoke Bishop is a quiet residential area of Bristol. The apartment is situated very close to The Downs, a large and beautiful public park with views over the suspension bridge. Access to shops and other local amenities is by foot (15-20 mins) or by car (5-10 mins). The flat is ground floor - with two flats above, these are occupied by families with small children.",https://a0.muscache.com/pictures/64358545/fac1714a_original.jpg,24770635,https://www.airbnb.com/users/show/24770635,Kerry,2014-12-12,"Bristol, United Kingdom",,within a day,100%,100%,f,https://a0.muscache.com/im/users/24770635/profile_pic/1438322736/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/24770635/profile_pic/1438322736/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Stoke Bishop,,51.47476,-2.62736,Entire rental unit,Entire home/apt,4,2.5,2.5 baths,2.0,2.0,"[""Clothing storage: closet, wardrobe, and dresser"", ""Oven"", ""Books and reading material"", ""Private patio or balcony"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Hot water kettle"", ""Wine glasses"", ""Indoor fireplace"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Outdoor furniture"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Drying rack for clothing"", ""Blender"", ""Smoke alarm"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Keypad"", ""First aid kit"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Dryer"", ""Free parking on premises"", ""Cleaning products"", ""Self check-in"", ""Fire extinguisher"", ""Baking sheet"", ""Hangers"", ""Air conditioning"", ""Private backyard \u2013 Fully fenced"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$150.00,2,1125,2.0,7.0,1125.0,1125.0,2.0,1125.0,,t,0,28,51,311,2024-09-23,155,7,1,2015-01-19,2024-08-26,4.93,4.94,4.86,4.92,4.94,4.94,4.87,,f,1,1,0,0,1.32
70,7591680,https://www.airbnb.com/rooms/7591680,20240923134023,2024-09-23,city scrape,"Calm and lovely, near city centre","Double bed  with shared bath and shower next door. Downstairs is our cottage-style sitting room with TV and woodburner, and the cosy centre of our home, a beautiful kitchen/dining room looking out onto the garden. We're busy filmmakers but love to meet new people.",Our house is opposite a Victorian church which runs a play school in the gardens. A quiet and leafy suburb with a mix of Victorian and Georgian houses. Parks and the Downs (for a game of footie or a good run) are nearby.,https://a0.muscache.com/pictures/96337354/12c824cf_original.jpg,15930299,https://www.airbnb.com/users/show/15930299,Simon,2014-05-24,"Bristol, United Kingdom","A maxim I respect but don't necessarily achieve is do unto others as you would have done to yourself. 
I am gregarious, I like other cultures. I speak English and French and pigeon Italian and pigeon Portugese. I like theatre and cinema and most music apart from house and am not too fond of rap. I like African music, I come from Zimbabwe tho' born in South Africa. 

I like to travel quite simply. My favorite game park and  destination in the world is Mana Pools on the banks of the Zambezi but I also sail and enjoy rock climbing and I travel to Spain and Southern Africa to do these but I also travel to Southern Africa for work.  My favorite coast is the Mozambican coast but I also love the Pembroke coast of Wales. ",within a day,100%,32%,f,https://a0.muscache.com/im/users/15930299/profile_pic/1412188163/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/15930299/profile_pic/1412188163/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Cotham,,51.46458,-2.59522,Private room in home,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Oven"", ""Ping pong table"", ""Books and reading material"", ""Dishwasher"", ""Room-darkening shades"", ""Stove"", ""Hot water"", ""Paid parking off premises"", ""Indoor fireplace"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""Shower gel"", ""Patio or balcony"", ""Iron"", ""Cooking basics"", ""First aid kit"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Long term stays allowed"", ""Clothing storage"", ""Backyard"", ""Self check-in"", ""Cleaning products"", ""Hangers"", ""Smart lock"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating""]",$33.00,7,90,1.0,7.0,90.0,90.0,7.0,90.0,,t,0,0,27,105,2024-09-23,15,1,0,2015-09-12,2024-07-06,4.87,4.93,4.8,4.93,4.93,5.0,4.87,,f,1,0,1,0,0.14
95,9271329,https://www.airbnb.com/rooms/9271329,20240923134023,2024-09-23,previous scrape,Beautiful Converted Chapel,"A beautifully converted chapel on a vibrant and colourful Georgian street only a short walk from many of the interesting hubs of Bristol. My home has a bright, well-equipped kitchen, living space and a lovely balcony overlooking a quirky indoor courtyard filled with lovely plants and flower pots. You will find culture, art, delicious food and independent shops right on your doorstep!","Lively, vibrant, arty neighbourhood.<br />Short walking distance from many independent shops, restaurants, cafes and pubs.",https://a0.muscache.com/pictures/62a5df61-4158-4728-a68d-b3094f0348d8.jpg,9695611,https://www.airbnb.com/users/show/9695611,Katina,2013-10-29,"Bristol, United Kingdom","I love living in this vibrant, colourful area of Bristol, Montpelier. This is a perfect place for entertaining friends and family. I hope you enjoy staying here as much as I enjoy living here!",within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/1683a240-d568-4e07-80b2-d95f3eb6ce57.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1683a240-d568-4e07-80b2-d95f3eb6ce57.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.46444,-2.5879,Entire home,Entire home/apt,4,,2 baths,2.0,,"[""Oven"", ""Private patio or balcony"", ""HDTV with Netflix, standard cable"", ""Dishwasher"", ""Stove"", ""Hot water"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""Smoke alarm"", ""Iron"", ""Cooking basics"", ""Host greets you"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Backyard"", ""Free parking on premises"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating""]",,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,3,3,3,3,2024-09-23,43,1,0,2015-12-22,2024-01-03,4.91,4.88,4.67,4.85,4.81,4.93,4.78,,f,1,1,0,0,0.4
