En el quinto filtro se busca obtener los anuncios que tengan 1 baño o que sean superhost pero con la condición de que todos sean instant bookable
,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
40,3975847,https://www.airbnb.com/rooms/3975847,20240923134023,2024-09-23,city scrape,"Victorian house, room with double bed and en suite","My house is in a quiet residential road in Redland with good transport links,  into the city and beyond. It is well located and is 5 minutes walk from Whiteladies Road with  easy access to a wide range of shops , restaurants, bars, cafes and pubs. It is perfectly located for walking to The Downs, Clifton Village and the city centre. The BBC and Bristol University are within an easy 20 min walk. It is also very convenient for Clifton College, the Spire Hospital and the Old Vic Theatre School.","Redland is an attractive residential suburb to the north of the city centre near the Downs. The architecture of the area is predominantly Victorian and it benefits from a wide range of local amenities. The house is situated 5 minutes from Whiteladies Road, with access to a wide variety of shops, supermarkets, restaurants, cafes and pubs. It is perfectly located for walking to Bristol University, BBC, BRI, The Spire Hospital, Bristol Zoo Gardens, The Downs, Clifton Village and the City Centre.",https://a0.muscache.com/pictures/52c411c5-d1e6-4980-8a66-6e6d734af34d.jpg,20605126,https://www.airbnb.com/users/show/20605126,Val,2014-08-27,"Bristol, United Kingdom","My husband Dermot and I love cycling,we are both regular cyclists here in Bristol and have had cycling holidays abroad. We love to travel and this year visited  some of the national parks of North America. We love  trying different cuisines. I love reading and I am in a local book club. We have met lots of wonderful people through hosting and also  enjoyed being Airbnb guests. It's a great way of getting to know local areas etc. I speak some French. We love our home and living in Bristol and we hope you enjoy it too.",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/91ad8af4-f56c-419c-94f8-c93ca0528b0a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/91ad8af4-f56c-419c-94f8-c93ca0528b0a.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Clifton Down,,51.46993,-2.61109,Private room in home,Private room,2,0.0,0 shared baths,1.0,1.0,"[""Oven"", ""Books and reading material"", ""Dining table"", ""Dishwasher"", ""Portable fans"", ""Hot water kettle"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Shampoo"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Garden view"", ""Refrigerator"", ""Washer"", ""TV"", ""Shower gel"", ""Patio or balcony"", ""Smoke alarm"", ""Iron"", ""M&S soap body soap"", ""Free street parking"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Host greets you"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dryer"", ""Free parking on premises"", ""Cleaning products"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Essentials"", ""Board games"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$70.00,1,7,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,8,25,48,49,2024-09-23,154,23,1,2016-12-03,2024-09-22,4.92,4.97,4.95,4.96,4.98,4.95,4.86,,t,1,0,1,0,1.62
46,4521395,https://www.airbnb.com/rooms/4521395,20240923134023,2024-09-23,previous scrape,"Tranquil studio flat, easy access central Bristol",Avonview Studio (www bristolpad co uk/avonview-studio html) offers  business-class comfort and fine views in the tranquility of the Avon Valley. Walking distance from central rail station and easy reach to central Bristol. Patio garden.Street parking. [Longer stay (at least 14 days) Guests are welcome to contact us more than three months in advance to request a booking],"The Studio offers  ready access both to central Bristol, to Bath by car or train, and to the River Avon Valley and local parks and nature reserve (two minutes down to the river walks).<br />For central Bristol, 36 bus stop within 2 minutes walk, bus half hourly (hourly during daytime on Sundays); or 25 minutes walk to Temple Meads which is a transport hub for buses all over Bristol as well as local and national trains; or drive to centre 10-20 minutes depending on traffic, then use pay park or some free places in evenings; or taxi (£8?). Bus timetables online or use Bristol Bus timetable live app. Hard copy of 36 timetable at studio, along with taxi cards and some rail timetables.<br />It is two minutes walk to the local Village Centre which has a fair sized Co-Op (with Amazon locker and cashpoint), local Indian, Chinese, Pizza and café outlets, GP surgery and Lloyds chemists shop.<br />Avonmeads Retail Park within 4 minutes drive or 25 minutes on foot has numerous outlets, some 24/7, ",https://a0.muscache.com/pictures/61861159/d6d8b01f_original.jpg,23421319,https://www.airbnb.com/users/show/23421319,Ian,2014-11-06,"Bristol, United Kingdom","My wife and I have busy professional jobs which have given us a great deal of experience over the years with many types of people, different cultural settings and nationalities. We also own property which we let to young professionals and have had extensive experience both with lodgers and tenants (over 150 contracts); and with property development and maintenance. An overview, including testimonials, can be viewed at www bristolpad co uk. We are recognized for being efficient and pro-active in ensuring that the accommodation we provide is of high standard and well maintained. We are NLA and ICO registered. 
The Avonview Studio flat described here represents an annex development which we feel will be attractive both for business and holiday travellers to the Bristol area. It is our first experience of short term letting / managed apartments and we are committed to ensuring that we provide a high standard of service. We also have excellent local contacts and contractors to support our services.",,,100%,t,https://a0.muscache.com/im/users/23421319/profile_pic/1416098895/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/23421319/profile_pic/1416098895/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Brislington East,,51.4532,-2.54499,Entire rental unit,Entire home/apt,2,,1 bath,,,"[""Hot water"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Cooking basics"", ""Dedicated workspace"", ""Long term stays allowed"", ""Dryer"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating""]",,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,0,0,0,0,2024-09-23,148,2,0,2015-01-22,2024-06-01,4.53,4.74,4.26,4.85,4.88,4.49,4.58,,t,1,1,0,0,1.26
59,5890872,https://www.airbnb.com/rooms/5890872,20240923134023,2024-09-23,city scrape,"Private cosy flat, free road parking and garden","Come and stay in our cosy private annexe in the lovely Windmill Hill area. It is 20 minutes walk to the docks and centre,  3 minutes from food shops. Cosy up by the wood-burning stove or sit out in a private garden.","Windmill hill is a very community spirited friendly neighbourhood.  There are lots of community events, eg music in the park, arts trail, street parties, bonfire night, concerts in the church, fun day in park. It is right beside one of the nicest parks in Bristol, and conveniently located near the centre, but without seeming too busy.",https://a0.muscache.com/pictures/73390195/ee5fc983_original.jpg,25846068,https://www.airbnb.com/users/show/25846068,Liz And James,2015-01-09,"England, United Kingdom",,within an hour,100%,100%,f,https://a0.muscache.com/im/users/25846068/profile_pic/1428170020/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/25846068/profile_pic/1428170020/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Windmill Hill,,51.43784,-2.59526,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Oven"", ""Ski-in/Ski-out"", ""Stove"", ""Hot water"", ""Pets allowed"", ""Kitchen"", ""Hair dryer"", ""Breakfast"", ""TV with standard cable"", ""Refrigerator"", ""Indoor fireplace: wood-burning"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Cooking basics"", ""Private backyard \u2013 Not fully fenced"", ""First aid kit"", ""Carbon monoxide alarm"", ""Private entrance"", ""Long term stays allowed"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$62.00,2,60,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,9,9,9,11,2024-09-23,441,37,1,2015-04-14,2024-08-29,4.62,4.8,4.54,4.92,4.94,4.66,4.72,,t,1,1,0,0,3.83
63,6376019,https://www.airbnb.com/rooms/6376019,20240923134023,2024-09-23,city scrape,Double room with private lounge and bathroom,"Private space consists of the bedroom, lounge and bathroom. The only shared space is the kitchen, entrance and garden.<br /><br />Part of a Victorian era town house, minutes walk from the vibrant and lively Stoke Croft. Close to Cabot Circus shopping center.","St. Pauls is a vibrant area of Bristol close to the city center. Stokes Croft is minutes away and has been rejuvenated in recent years with independent coffee shops, bars and restaurants.",https://a0.muscache.com/pictures/80758421/836f8c71_original.jpg,5100050,https://www.airbnb.com/users/show/5100050,Andy,2013-02-15,"Bristol, United Kingdom","A 40 something, somewhat nomadic, Londoner. Software engineer by profession. PPG pilot for fun.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/5100050/profile_pic/1426438149/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5100050/profile_pic/1426438149/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.46541,-2.5845,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Oven"", ""Dishwasher"", ""Stove"", ""Hot water"", ""Paid parking off premises"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lock on bedroom door"", ""Bathtub"", ""Private living room"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Host greets you"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Crib"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Essentials"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$60.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,7,13,19,294,2024-09-23,49,4,0,2015-05-26,2024-08-07,4.57,4.76,4.27,4.82,4.94,4.57,4.53,,t,1,0,1,0,0.43
83,8161251,https://www.airbnb.com/rooms/8161251,20240923134023,2024-09-23,city scrape,A Stylish Double Room,"Welcome to our 1930's mid terrace home in the quiet friendly suburb of Horfield, where you will find a relaxing heart warming atmosphere.  The inside decor is contemporary with original features. You will have a light stylish double room to stay in.","There are many reasons why you should choose us as a host: whether you are here as a tourist, family or on business, or even check out what Bristol  has to offer as a place you might want to  choose to in live in the future........ <br /><br />Our street and surrounding area  is very friendly and secure.  There is a pub very close to where we live called 'The Inn on the Green' which is an excellent pub, which serves a selection of local ales, great food and great staff.  They open most of the day and is a great place to meet friends and family. If you fancy something different, try the Raj Pavilions which has great customer service and amazing curry dishes. There is also convenience store and launderette a couple of streets away.<br /><br />Alternatively further a field, there is a vast array of  exciting pubs, bars, restaurants to go on the Gloucester Road.  If you are looking for fitness there is also local leisure centre with gym and swimming pool, or if you are looking for stroll t",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODE2MTI1MQ%3D%3D/original/73243880-1d09-42b1-9d60-93b50b3f580e.jpeg,39471780,https://www.airbnb.com/users/show/39471780,Daniel,2015-07-24,"Bristol, United Kingdom",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/afa90ebb-a96b-470a-816a-8098c0fb9dee.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/afa90ebb-a96b-470a-816a-8098c0fb9dee.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Horfield,,51.49529,-2.57997,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Oven"", ""Books and reading material"", ""Free washer \u2013 In building"", ""Dining table"", ""Laundromat nearby"", ""Dishwasher"", ""Room-darkening shades"", ""Stove"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Coffee maker"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Breakfast"", ""Outdoor furniture"", ""Refrigerator"", ""Drying rack for clothing"", ""Blender"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Piano"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Host greets you"", ""City skyline view"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Free parking on premises"", ""Cleaning products"", ""Board games"", ""Shared backyard \u2013 Fully fenced"", ""Shared patio or balcony"", ""Hangers"", ""Free dryer \u2013 In building"", ""Ethernet connection"", ""Essentials"", ""Wifi"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$36.00,1,90,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,263,2024-09-23,150,13,2,2015-09-17,2024-09-01,4.85,4.92,4.77,4.95,4.92,4.8,4.85,,t,1,0,1,0,1.37
92,8967035,https://www.airbnb.com/rooms/8967035,20240923134023,2024-09-23,city scrape,Cosy apartment close to city centre,The well furnished apartment adjoins the owner's family home and is very quiet and secure.  The train station is 10 mins away by bus and the town centre 15 min.  The airport is 20 mins away by taxi (around £20). There is plenty of street parking available.,Very quiet residential road lined with trees.  Most properties are large detached town houses.  Easy access to the city centre which is 2.5 miles away. There is free parking on the road.,https://a0.muscache.com/pictures/c179e279-6b26-45cc-9e2e-1fc575abba84.jpg,46861775,https://www.airbnb.com/users/show/46861775,Kath And Hamish,2015-10-18,"Bristol, United Kingdom",,,,100%,t,https://a0.muscache.com/im/pictures/user/603bb7fe-bd97-4b99-9644-8b345a9d79fd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/603bb7fe-bd97-4b99-9644-8b345a9d79fd.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Knowle,,51.43072,-2.56403,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Oven"", ""Clothing storage: wardrobe"", ""Books and reading material"", ""Stove"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Single level home"", ""Refrigerator"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Extra pillows and blankets"", ""Paid washer \u2013 In building"", ""Long term stays allowed"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Paid dryer"", ""Essentials"", ""Hot water kettle"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$60.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,22,2024-09-23,178,5,0,2015-11-10,2023-10-26,4.67,4.8,4.64,4.85,4.89,4.73,4.76,,t,1,1,0,0,1.65
94,9249090,https://www.airbnb.com/rooms/9249090,20240923134023,2024-09-23,city scrape,"Cosy basement room, Windmill Hill","Quiet house in cul-de-sac, on street parking and a spacious but cosy bedroom. Low ceiling, max height 6' 2"". Unusually for an inner city location, there is as yet no parking restrictions. We are idyllically located on top of Windmill Hill overlooking Victoria Park with easy access to the city centre.  Guests have a private bathroom on the ground floor and an attractive garden to sit in when the weather permits. We also offer a wi-fi connection.<br /><br />We can accommodate either one or two guests.","Windmill Hill is an area known for its high concentration of artists and community spirit. Your host is a professional writer and entertainer. There are many things happening locally. Guests have commended the food at the local pub, The Windmill. There is also a very good Indian restaurant five minutes away, Ganesha.",https://a0.muscache.com/pictures/9a4b178f-e2c0-4ff8-830f-d3a4b97d55cf.jpg,41023048,https://www.airbnb.com/users/show/41023048,Trevor,2015-08-10,"Bristol, United Kingdom","I am a self employed writer and entertainer. My partner Sally Britton is a company director. We both read a lot and enjoy live entertainments such as theatre and music events. Sally is vegetarian. We eat a mainly whole food diet. Favourite holiday destinations: Turkey, Morocco and the Lake District. We have both travelled extensively. We offer a quiet comfortable house for interesting thoughtful people. ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/7cb8413f-9269-4725-bc2e-cde28a0380bd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7cb8413f-9269-4725-bc2e-cde28a0380bd.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Windmill Hill,,51.44098,-2.58926,Private room in home,Private room,2,1.0,1 private bath,1.0,0.0,"[""Iron"", ""Breakfast"", ""Washer"", ""Hangers"", ""Essentials"", ""First aid kit"", ""Extra pillows and blankets"", ""Heating"", ""Microwave""]",$36.00,2,14,2.0,2.0,14.0,14.0,2.0,14.0,,t,6,6,6,6,2024-09-23,64,2,0,2015-11-11,2024-07-18,4.61,4.68,4.78,4.9,4.82,4.62,4.64,,t,1,0,1,0,0.59
101,9521652,https://www.airbnb.com/rooms/9521652,20240923134023,2024-09-23,city scrape,"Studio,  Old City Centre","Self-catering  studio in the heart of the City District of Bristol, UK.<br />Bang in the centre of town, this unique designer studio apartment is on the quiet side of the building overlooking St Nick's Market 45 seconds above the city swirl !",,https://a0.muscache.com/pictures/cce7dae6-f6fc-4071-8ab2-7c288e67b2e9.jpg,27954975,https://www.airbnb.com/users/show/27954975,Johnie,2015-02-18,"Bristol, United Kingdom",,within an hour,96%,100%,t,https://a0.muscache.com/im/pictures/user/003aa05d-7163-4f2e-b3c1-3296dbfe198b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/003aa05d-7163-4f2e-b3c1-3296dbfe198b.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,,Central,,51.4544,-2.59404,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Dining table"", ""Room-darkening shades"", ""Stove"", ""Hot water kettle"", ""Wine glasses"", ""Hot water"", ""Bayliss & Harding body soap"", ""Tressemmne conditioner"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Shower gel"", ""Smoke alarm"", ""Iron"", ""Cooking basics"", ""Extra pillows and blankets"", ""Asdf refrigerator"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Hangers"", ""Wifi"", ""Essentials"", ""Bosch oven"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Elevator"", ""Microwave""]",$77.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,21,51,81,258,2024-09-23,426,55,3,2016-01-25,2024-09-07,4.84,4.91,4.8,4.9,4.96,4.98,4.76,,t,3,3,0,0,4.04
125,11864632,https://www.airbnb.com/rooms/11864632,20240923134023,2024-09-23,city scrape,Comfortable and Clean Flat - Great Location,"A stylish and comfortable one bed flat just off the bustling Gloucester Rd with its great range of independent shops, bars and restaurants. We’re around 20 mins walk into town and close to great local, national and international transport links. This is a vibrant central area but a fairly quiet road. Parking can be difficult during the day but usually OK in the evening and at weekends. There is a lovely park just around the corner and a thriving independent high street.","The Gloucester Rd is a few steps away and we are lucky enough to have some of the best restaurants and gastro pubs nearby. It is the longest road of independent shops in Europe and has a really good selection including a couple of good supermarkets within 5 mins walk, as well as bakers, butchers, fishmongers, greengrocers, gift shops, clothes shops, health food, delis etc.  There are also some great retro, vintage and charity shops.<br /><br />There is a Congestion Zone charge for some cars in the centre. We are not in that zone but do be aware if you are driving here with a non compliant car.<br /><br />The flat is a short walk away from Gloucester Cricket Club which hosts local, national and international matches. There is a great blog about all the lovely places to eat locally in the flat too. We can send the link if you'd like to plan!",https://a0.muscache.com/pictures/eb3d7dc0-ed7d-4558-8ed8-ac85d9a33598.jpg,10680012,https://www.airbnb.com/users/show/10680012,Cath,2013-12-17,"Bristol, United Kingdom","I sell mid century furniture and homeware and I love living in Bristol.  I enjoy all the theatre, art and culture that the city has to offer.  I love the food scene in Bristol so have plenty of local information regarding markets and restaurants.  I also enjoy the fact that we have some of the best arts centres in the country and a fabulous local independent neighbourhood. ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/10680012/profile_pic/1390429673/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/10680012/profile_pic/1390429673/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Ashley,,51.47118,-2.59155,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Oven"", ""Books and reading material"", ""Private patio or balcony"", ""Dining table"", ""Laundromat nearby"", ""Portable fans"", ""Stove"", ""Hot water kettle"", ""Wine glasses"", ""Hot water"", ""38 inch TV"", ""Coffee maker: french press"", ""Bed linens"", ""Pets allowed"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Outdoor furniture"", ""Refrigerator"", ""Drying rack for clothing"", ""Shower gel"", ""Pack \u2019n play/Travel crib"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Luggage dropoff allowed"", ""First aid kit"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Self check-in"", ""Cleaning products"", ""Board games"", ""Fire extinguisher"", ""Baking sheet"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$90.00,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,7,27,51,324,2024-09-23,1090,150,12,2016-06-03,2024-09-22,4.9,4.94,4.92,4.97,4.97,4.91,4.84,,t,1,1,0,0,10.77
130,12187361,https://www.airbnb.com/rooms/12187361,20240923134023,2024-09-23,city scrape,2 Bedroom House in 10 mins from the city centre.,"Well appointed terraced house within easy walking distance of Cabot Circus shopping district and the bars and restaurants of the Old City, and Old Market. The house is great for couples or families and features spacious rooms and an enclosed rear garden.<br />This listing is NOT available for parties. Noise detection equipment will alert building management and relevant authorities, and stays may be terminated without notice.","Like most of Bristol St Judes is a very multicultural neighborhood, with many shops stocking a wide range of international foods. There are also traditional English pubs in close proximity, and is very close to the gay district of Old MArket",https://a0.muscache.com/pictures/miso/Hosting-12187361/original/3abf8b31-e7de-41bf-958a-0e19f91a5164.jpeg,65499435,https://www.airbnb.com/users/show/65499435,Brett,2016-04-02,"Bristol, United Kingdom","Two kids, two dogs, one VW T4. Proud Bristolian.
I live very close to the properties listed, so in the unlikely event of a problem (or a noise complaint) I can be with you within minutes.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/c0969714-6aa8-4ac7-8641-2c6a2112660c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c0969714-6aa8-4ac7-8641-2c6a2112660c.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Lawrence Hill,,51.46102,-2.57558,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Oven"", ""Free washer \u2013 In building"", ""Dining table"", ""Dishwasher"", ""Stove"", ""Hot water"", ""Indoor fireplace"", ""Portable heater"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Pets allowed"", ""Outdoor furniture"", ""Refrigerator"", ""TV"", ""Shower gel"", ""Patio or balcony"", ""Smoke alarm"", ""Iron"", ""Paid street parking off premises"", ""Bathtub"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Dryer"", ""Central heating"", ""Self check-in"", ""Cleaning products"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Smart lock"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Microwave""]",$117.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,7,18,44,300,2024-09-23,524,32,1,2016-04-10,2024-08-25,4.65,4.88,4.88,4.87,4.83,4.4,4.69,,t,2,2,0,0,5.09
