,host_name,host_since,host_location,host_response_time,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,license,instant_bookable,first_review,last_review,host_response_rate,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,Sarah,2011-01-24,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Windmill Hill,Private room in townhouse,Private room,1 shared bath,"[""Oven"", ""Free washer \u2013 In building"", ""Dining table"", ""Stove"", ""Hot water"", ""Pets allowed"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Backyard"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Dishes and silverware"", ""Heating""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2013-10-18,2024-09-22,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.0,,,,,,,,4.4
1,Marcus,2011-05-15,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Hotwells & Harbourside,Private room in condo,Private room,2.5 shared baths,"[""Cleaning available during stay"", ""Oven"", ""Clothing storage: wardrobe"", ""Books and reading material"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Hot water kettle"", ""Wine glasses"", ""Bed linens"", ""Game console: PS3, PS4, and PS5"", ""Hair dryer"", ""Kitchen"", ""Coffee maker: Nespresso"", ""Breakfast"", ""Refrigerator"", ""Head and Shoulders  conditioner"", ""River view"", ""Blender"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Mini fridge"", ""Smoke alarm"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Iron"", ""Paid street parking off premises"", ""Toaster"", ""Cooking basics"", ""65 inch HDTV with Amazon Prime Video, Netflix, Apple TV, standard cable, premium cable, Disney+"", ""Luggage dropoff allowed"", ""First aid kit"", ""Extra pillows and blankets"", ""Harbor view"", ""Host greets you"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee"", ""Waterfront"", ""Free residential garage on premises \u2013 1 space"", ""Cleaning products"", ""Board games"", ""Baking sheet"", ""Hangers"", ""Sonos  Bluetooth sound system"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Elevator"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2011-07-04,2024-09-08,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.0,,,,,,,,4.4
2,Orla,2011-06-16,"Bristol, United Kingdom",within a few hours,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Southville,Private room in townhouse,Private room,1 shared bath,"[""Oven"", ""Dishwasher"", ""Stove"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Park view"", ""Outdoor furniture"", ""Garden view"", ""Refrigerator"", ""Smoke alarm"", ""Iron"", ""Free street parking"", ""Cooking basics"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Paid washer \u2013 In building"", ""Host greets you"", ""City skyline view"", ""Dedicated workspace"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2012-11-18,2024-06-26,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,5.0,1125.0,5.0,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
3,Wendy,2012-01-08,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Easton,Private room in townhouse,Private room,1.5 shared baths,"[""Oven"", ""Books and reading material"", ""Dining table"", ""Laundromat nearby"", ""Room-darkening shades"", ""Organic castile which is oil based liquid soap, upon request  body soap"", ""Portable fans"", ""Freezer"", ""Hot water"", ""Stove"", ""Wine glasses"", ""Coffee maker"", ""Indoor fireplace"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Outdoor furniture"", ""Clothing storage: dresser"", ""Hammock"", ""Refrigerator"", ""Washer"", ""Drying rack for clothing"", ""Smoke alarm"", ""Fire pit"", ""Iron"", ""Lock on bedroom door"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Host greets you"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Long term stays allowed"", ""Central heating"", ""Backyard"", ""Cleaning products"", ""Free parking on premises"", ""Baking sheet"", ""Shared patio or balcony"", ""Hangers"", ""Fireplace guards"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Hot water kettle"", ""Dishes and silverware""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2017-06-04,2024-08-23,,,21.2,51.5,-2.5569,5.9,1.0,3.0,3.0,4.0,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
4,Fiona,2012-03-18,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Brislington West,Private room in home,Private room,1 shared bath,"[""Clothing storage: closet, wardrobe, and dresser"", ""Fast wifi \u2013 276 Mbps"", ""Laundromat nearby"", ""Room-darkening shades"", ""Hot water kettle"", ""Hot water"", ""Bed linens"", ""Hair dryer"", ""Conditioner"", ""Refrigerator"", ""Drying rack for clothing"", ""Shower gel"", ""Mini fridge"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Cooking basics"", ""Luggage dropoff allowed"", ""First aid kit"", ""Extra pillows and blankets"", ""Host greets you"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee"", ""Backyard"", ""Free parking on premises"", ""Cleaning products"", ""Hangers"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2012-03-26,2023-09-01,,,21.2,51.5,-2.55783,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
5,Louise,2012-03-18,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Redland,Private room in home,Private room,1 shared bath,"[""Bathtub"", ""Washer"", ""TV"", ""Host greets you"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Essentials"", ""Indoor fireplace"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Heating"", ""Smoke alarm""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2012-07-30,2024-06-02,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,97.0,33.9,3.7,,,,,,,,4.4
6,Kevin,2012-03-17,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,No specified,Westbury-on-Trym & Henleaze,Private room in home,Private room,1 private bath,"[""Oven"", ""Books and reading material"", ""Free washer \u2013 In building"", ""Private patio or balcony"", ""Dishwasher"", ""Stove"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Breakfast"", ""Outdoor furniture"", ""Garden view"", ""Refrigerator"", ""TV"", ""Indoor fireplace: wood-burning"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Cooking basics"", ""Outdoor dining area"", ""Host greets you"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Free parking on premises"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""BBQ grill"", ""Free dryer \u2013 In building"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2012-07-17,2024-08-27,,,21.2,51.49491,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,110.0,33.9,3.7,,,,,,,,4.4
7,Ingrid,2012-03-29,United Kingdom,within a day,f,Not specified,"['email', 'phone']",t,t,No specified,Ashley,Entire rental unit,Entire home/apt,1 bath,"[""Oven"", ""Private patio or balcony"", ""Dishwasher"", ""Room-darkening shades"", ""Stove"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Outdoor furniture"", ""Garden view"", ""Refrigerator"", ""TV"", ""Pack \u2019n play/Travel crib"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""Courtyard view"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Cooking basics"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""City skyline view"", ""Private entrance"", ""Dedicated workspace"", ""Long term stays allowed"", ""Backyard"", ""Crib"", ""Self check-in"", ""Fire extinguisher"", ""Hangers"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2012-04-30,2024-09-08,,,21.2,51.5,-2.5,5.0,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.0,,,,,,,,4.4
8,Elisabeth,2012-04-08,"Bristol, United Kingdom",within a few hours,t,Not specified,"['email', 'phone']",t,t,No specified,Ashley,Private room in rental unit,Private room,1 private bath,"[""Oven"", ""Room-darkening shades"", ""Wine glasses"", ""Hot water"", ""Paid parking off premises"", ""Coffee maker"", ""Bed linens"", ""Pets allowed"", ""Kitchen"", ""Hair dryer"", ""Free washer"", ""Clothing storage: dresser"", ""Refrigerator"", ""Smoke alarm"", ""Iron"", ""Bathtub"", ""Toaster"", ""First aid kit"", ""Extra pillows and blankets"", ""Host greets you"", ""Carbon monoxide alarm"", ""Backyard"", ""Free parking on premises"", ""Cleaning products"", ""Hangers"", ""Wifi"", ""Essentials"", ""Fire extinguisher"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2012-07-23,2024-09-07,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
9,Lois,2012-04-09,"Bristol, United Kingdom",within a few hours,t,Not specified,"['email', 'phone']",t,t,No specified,Redland,Entire home,Entire home/apt,2 baths,"[""Oven"", ""Books and reading material"", ""Private patio or balcony"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Hot water kettle"", ""Wine glasses"", ""Indoor fireplace"", ""Shared pool - available all year, open specific hours, heated"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Refrigerator"", ""Washer"", ""TV"", ""Drying rack for clothing"", ""Shower gel"", ""Pack \u2019n play/Travel crib"", ""Smoke alarm"", ""Piano"", ""Children\u2019s dinnerware"", ""Iron"", ""Baby safety gates"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Children\u2019s books and toys"", ""First aid kit"", ""Outdoor dining area"", ""Host greets you"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Backyard"", ""Free parking on premises"", ""Cleaning products"", ""Outdoor playground"", ""Hangers"", ""Fireplace guards"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2012-04-30,2024-09-08,,,21.2,51.5,-2.5,5.0,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,41.0,3.0,,,,,,,,4.4
